Date,USDX,GOLD
"Mar 08, 2016",97.21,1262.1
"Mar 07, 2016",97.08,1263.2
"Mar 04, 2016",97.34,1269.9
"Mar 03, 2016",97.6,1257.4
"Mar 02, 2016",98.22,1241.1
"Mar 01, 2016",98.36,1230.3
"Feb 29, 2016",98.22,1233.9
"Feb 26, 2016",98.17,1219.8
"Feb 25, 2016",97.28,1238.2
"Feb 24, 2016",97.46,1238.7
"Feb 23, 2016",97.48,1222.3
"Feb 22, 2016",97.39,1209.5
"Feb 19, 2016",96.6,1230.4
"Feb 18, 2016",96.96,1226.1
"Feb 17, 2016",96.8,1211.1
"Feb 16, 2016",96.88,1207.9
"Feb 15, 2016",95.98,1208.1
"Feb 12, 2016",95.98,1239.1
"Feb 11, 2016",95.62,1247.9
"Feb 10, 2016",95.94,1194.7
"Feb 09, 2016",96.09,1198.7
"Feb 08, 2016",96.58,1197.9
"Feb 05, 2016",97.05,1157.8
"Feb 04, 2016",96.49,1157.6
"Feb 03, 2016",97.3,1141.3
"Feb 02, 2016",98.89,1127.3
"Feb 01, 2016",99.03,1127.9
"Jan 29, 2016",99.65,1116.4
"Jan 28, 2016",98.54,1115.6
"Jan 27, 2016",98.95,1116.1
"Jan 26, 2016",99.13,1121.7
"Jan 25, 2016",99.41,1106.2
"Jan 22, 2016",99.65,1097.2
"Jan 21, 2016",99.13,1099.1
"Jan 20, 2016",99.17,1107.1
"Jan 19, 2016",99.04,1089.9
"Jan 18, 2016",99.02,1088.5
"Jan 15, 2016",99.02,1091.5
"Jan 14, 2016",99.16,1073.9
"Jan 13, 2016",98.98,1087.5
"Jan 12, 2016",99.02,1085.6
"Jan 11, 2016",98.78,1096.5
"Jan 08, 2016",98.6,1097.8
"Jan 07, 2016",98.27,1107.7
"Jan 06, 2016",99.27,1091.9
"Jan 05, 2016",99.5,1078.4
"Jan 04, 2016",98.97,1075.1
"Dec 31, 2015",98.75,1060.3
"Dec 30, 2015",98.35,1060.1
"Dec 29, 2015",98.17,1077.5
"Dec 28, 2015",97.95,1070.5
"Dec 24, 2015",98.02,1077.2
"Dec 23, 2015",98.37,1069.4
"Dec 22, 2015",98.24,1074.8
"Dec 21, 2015",98.37,1081.9
"Dec 18, 2015",98.73,1066.2
"Dec 17, 2015",99.32,1050.8
"Dec 16, 2015",97.88,1078.0
"Dec 15, 2015",98.29,1062.9
"Dec 14, 2015",97.47,1064.7
"Dec 11, 2015",97.55,1076.9
"Dec 10, 2015",97.96,1073.1
"Dec 09, 2015",97.33,1077.6
"Dec 08, 2015",98.47,1076.3
"Dec 07, 2015",98.67,1076.4
"Dec 04, 2015",98.34,1084.5
